title,company,location,link
[S/W] Data Scientist,현대자동차그룹,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e4952de43fa31517
[수시] ESTsecurity 웹프론트 개발 채용(경력),이스트시큐리티,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=977529f65769df3a
AI/빅데이터 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb617eeb80ea6fa9
[Autonomous Driving] Software Tool Engineer,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=84348b9371558933
[Clova] Clova AI AiCall 개발자 경력사원,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7db25ada717266e0
PC플랫폼 운영을 담당할 를 합니다.,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=28cde36427979564
소프트웨어 그룹 유망계열사,그룹 유망계열사,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8e7e6dd1929ae8ab
(주)웨이브웨어 2020 년도 신입사원 (개발자),웨이브웨어,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=29fe737d11034db3
모빌리티 자율주행 솔루션 실무과정 국비교육(4차산업인력양성),연희직업전문학교,인천 서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=acbcd598c4efddaf
"글로벌 플랫폼 쉴드 개발(인증보안,이상결제,평판 등)",Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=07f425a9fb3ee67b
[Search] NAVER Search 이미지 검색서버개발 신입/경력사원,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a771637c0eeffc26
TOAST Cloud 사업기획/영업,NHN,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6b86ea39985912b6
KAIST [방사선및핵의공학연구센터] 연수연구원 모집 공고,카이스트,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8af7b036cb8afb82
[경력직 ] AI 시스템 풀스택 웹 개발자,마인즈랩,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f3b7d5dec9ee579f
